                                                                                                                                         
{'loss': 2.1212, 'grad_norm': 0.8156980276107788, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.25}
{'loss': 2.1698, 'grad_norm': 0.8376718759536743, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.5}
{'loss': 2.1236, 'grad_norm': 0.8252228498458862, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.75}
{'loss': 2.102, 'grad_norm': 0.8707694411277771, 'learning_rate': 0.00011999999999999999, 'epoch': 1.0}
{'loss': 1.9864, 'grad_norm': 0.961522102355957, 'learning_rate': 0.00015, 'epoch': 1.25}
{'loss': 1.751, 'grad_norm': 1.003792405128479, 'learning_rate': 0.00017999999999999998, 'epoch': 1.5}
{'loss': 1.4201, 'grad_norm': 1.037896990776062, 'learning_rate': 0.00020999999999999998, 'epoch': 1.75}
{'loss': 1.1129, 'grad_norm': 1.1290209293365479, 'learning_rate': 0.00023999999999999998, 'epoch': 2.0}
{'loss': 0.9252, 'grad_norm': 3.5546934604644775, 'learning_rate': 0.00027, 'epoch': 2.25}
{'loss': 0.6193, 'grad_norm': 1.3880683183670044, 'learning_rate': 0.0003, 'epoch': 2.5}
{'loss': 0.4613, 'grad_norm': 1.3437473773956299, 'learning_rate': 0.00029666666666666665, 'epoch': 2.75}
{'loss': 0.3663, 'grad_norm': 0.6865168809890747, 'learning_rate': 0.00029333333333333327, 'epoch': 3.0}
{'loss': 0.3397, 'grad_norm': 0.7761508226394653, 'learning_rate': 0.00029, 'epoch': 3.25}
{'loss': 0.2729, 'grad_norm': 0.5448750257492065, 'learning_rate': 0.0002866666666666667, 'epoch': 3.5}
{'loss': 0.2288, 'grad_norm': 0.4027269184589386, 'learning_rate': 0.0002833333333333333, 'epoch': 3.75}
{'loss': 0.2245, 'grad_norm': 0.3569244146347046, 'learning_rate': 0.00028, 'epoch': 4.0}
{'loss': 0.2009, 'grad_norm': 0.3334046006202698, 'learning_rate': 0.00027666666666666665, 'epoch': 4.25}
{'loss': 0.174, 'grad_norm': 0.26901277899742126, 'learning_rate': 0.00027333333333333333, 'epoch': 4.5}
{'loss': 0.1876, 'grad_norm': 0.3557731807231903, 'learning_rate': 0.00027, 'epoch': 4.75}
{'loss': 0.1727, 'grad_norm': 0.4807163178920746, 'learning_rate': 0.0002666666666666666, 'epoch': 5.0}
{'loss': 0.1306, 'grad_norm': 0.2837088108062744, 'learning_rate': 0.0002633333333333333, 'epoch': 5.25}
