                                                                                                                                                                    
{'loss': 2.7772, 'grad_norm': 0.48031294345855713, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 2.873, 'grad_norm': 0.5419227480888367, 'learning_rate': 4e-05, 'epoch': 0.03}
{'loss': 3.0358, 'grad_norm': 0.6149182319641113, 'learning_rate': 6e-05, 'epoch': 0.04}
{'loss': 3.2649, 'grad_norm': 0.6727203726768494, 'learning_rate': 8e-05, 'epoch': 0.05}
{'loss': 3.2039, 'grad_norm': 0.6323146224021912, 'learning_rate': 0.0001, 'epoch': 0.07}
{'loss': 2.9962, 'grad_norm': 0.8190459609031677, 'learning_rate': 0.00012, 'epoch': 0.08}
{'loss': 2.7961, 'grad_norm': 0.6216777563095093, 'learning_rate': 0.00014, 'epoch': 0.1}
{'loss': 2.8414, 'grad_norm': 0.8780501484870911, 'learning_rate': 0.00016, 'epoch': 0.11}
{'loss': 2.877, 'grad_norm': 0.7855924963951111, 'learning_rate': 0.00018, 'epoch': 0.12}
{'loss': 2.7602, 'grad_norm': 0.6348096132278442, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 2.4889, 'grad_norm': 1.459593653678894, 'learning_rate': 0.0001995918367346939, 'epoch': 0.15}
{'loss': 2.5126, 'grad_norm': 0.7726158499717712, 'learning_rate': 0.00019918367346938775, 'epoch': 0.16}
{'loss': 2.2152, 'grad_norm': 0.937980055809021, 'learning_rate': 0.00019877551020408164, 'epoch': 0.18}
{'loss': 2.2744, 'grad_norm': 0.616130530834198, 'learning_rate': 0.00019836734693877553, 'epoch': 0.19}
{'loss': 2.3289, 'grad_norm': 0.6463562250137329, 'learning_rate': 0.00019795918367346938, 'epoch': 0.2}
{'loss': 2.4498, 'grad_norm': 0.5595721006393433, 'learning_rate': 0.00019755102040816327, 'epoch': 0.22}
{'loss': 2.3295, 'grad_norm': 0.658124566078186, 'learning_rate': 0.00019714285714285716, 'epoch': 0.23}
{'loss': 2.4738, 'grad_norm': 0.6110890507698059, 'learning_rate': 0.00019673469387755104, 'epoch': 0.24}
{'loss': 2.432, 'grad_norm': 0.6063758730888367, 'learning_rate': 0.0001963265306122449, 'epoch': 0.26}
