                                                                                                                                                                
{'loss': 2.3475, 'grad_norm': 0.8685447573661804, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.01}
{'loss': 2.2973, 'grad_norm': 0.8585803508758545, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.01}
{'loss': 2.3174, 'grad_norm': 0.8669792413711548, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.02}
{'loss': 2.348, 'grad_norm': 0.8908824920654297, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.02}
{'loss': 2.3003, 'grad_norm': 0.9024460911750793, 'learning_rate': 7.5e-05, 'epoch': 0.03}
{'loss': 2.2053, 'grad_norm': 0.922166109085083, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.03}
{'loss': 2.0603, 'grad_norm': 0.9366017580032349, 'learning_rate': 0.00010499999999999999, 'epoch': 0.04}
{'loss': 1.9008, 'grad_norm': 1.0150146484375, 'learning_rate': 0.00011999999999999999, 'epoch': 0.04}
{'loss': 1.6956, 'grad_norm': 1.1511532068252563, 'learning_rate': 0.000135, 'epoch': 0.05}
{'loss': 1.4214, 'grad_norm': 1.283835530281067, 'learning_rate': 0.00015, 'epoch': 0.05}
{'loss': 1.1647, 'grad_norm': 1.582046627998352, 'learning_rate': 0.000165, 'epoch': 0.06}
{'loss': 0.8872, 'grad_norm': 1.7747586965560913, 'learning_rate': 0.00017999999999999998, 'epoch': 0.06}
{'loss': 0.6532, 'grad_norm': 1.29072105884552, 'learning_rate': 0.000195, 'epoch': 0.07}
{'loss': 0.4479, 'grad_norm': 0.7844963669776917, 'learning_rate': 0.00020999999999999998, 'epoch': 0.07}
{'loss': 0.3716, 'grad_norm': 0.7440890669822693, 'learning_rate': 0.000225, 'epoch': 0.08}
{'loss': 0.3356, 'grad_norm': 0.906452476978302, 'learning_rate': 0.00023999999999999998, 'epoch': 0.09}
{'loss': 0.2745, 'grad_norm': 0.8415261507034302, 'learning_rate': 0.00025499999999999996, 'epoch': 0.09}
{'loss': 0.2175, 'grad_norm': 1.1416844129562378, 'learning_rate': 0.00027, 'epoch': 0.1}
{'loss': 0.2021, 'grad_norm': 0.5712801218032837, 'learning_rate': 0.000285, 'epoch': 0.1}
{'loss': 0.1418, 'grad_norm': 0.390578031539917, 'learning_rate': 0.0003, 'epoch': 0.11}
{'loss': 0.1466, 'grad_norm': 0.4602509140968323, 'learning_rate': 0.00029969387755102037, 'epoch': 0.11}
{'loss': 0.1128, 'grad_norm': 0.34098049998283386, 'learning_rate': 0.00029938775510204076, 'epoch': 0.12}
{'loss': 0.0987, 'grad_norm': 0.3281744122505188, 'learning_rate': 0.0002990816326530612, 'epoch': 0.12}
{'loss': 0.0922, 'grad_norm': 0.35077977180480957, 'learning_rate': 0.0002987755102040816, 'epoch': 0.13}
{'loss': 0.0919, 'grad_norm': 0.37196752429008484, 'learning_rate': 0.00029846938775510205, 'epoch': 0.13}
{'loss': 0.0799, 'grad_norm': 0.32222312688827515, 'learning_rate': 0.00029816326530612245, 'epoch': 0.14}
{'loss': 0.0917, 'grad_norm': 0.4315386116504669, 'learning_rate': 0.00029785714285714284, 'epoch': 0.14}
{'loss': 0.0597, 'grad_norm': 0.39553460478782654, 'learning_rate': 0.00029755102040816323, 'epoch': 0.15}
{'loss': 0.0706, 'grad_norm': 0.3467596173286438, 'learning_rate': 0.00029724489795918363, 'epoch': 0.15}
{'loss': 0.0548, 'grad_norm': 0.27639514207839966, 'learning_rate': 0.0002969387755102041, 'epoch': 0.16}
